,rgi_id,period,PDD,area,icecap,lat,prcp_01,prcp_02,prcp_03,prcp_04,prcp_05,prcp_06,prcp_07,prcp_08,prcp_09,prcp_10,prcp_11,prcp_12,rain,slope,snow,temp_01,temp_02,temp_03,temp_04,temp_05,temp_06,temp_07,temp_08,temp_09,temp_10,temp_11,temp_12,zmax,zmed,zmin,period_min,period_max
4468,RGI60-08.02235,2000-2010,63.22668786065579,2.289,0.0,65.988,152.880332,173.554018,177.5551565,183.980329,133.112843,112.064028,73.9432548,81.3072961,83.8066027,91.7629738,122.4574903,170.19978,917.387668,22.8,639.2364689999999,0.86777787,-3.2777775983,-6.25222227,-6.73666824,-7.44888998,-6.03666639,-1.1655556516,3.0122222899999995,7.27777782,10.5055543,9.5499993,5.36333416,1749.0,1402.0,1011.0,2000,2010
5850,RGI60-08.02926,2000-2010,55.81768773727417,0.6,0.0,59.93300000000001,153.39672860000002,130.547911,134.8332775,131.4081896,88.8586628,78.5259261,51.2181672,59.3639232,73.54990480000001,96.9244432,121.0807276,123.8932362,777.931872,8.2,465.669229,2.092222125,-2.271111199,-4.662223,-5.10999938,-5.82333353,-4.78777781,-0.8022221488,3.40000004,7.36666623,10.0433333,9.7488887,6.11999959,1615.0,1540.0,1425.0,2000,2010
5067,RGI60-08.02534,2010-2020,58.34637615189551,0.294,0.0,70.154,89.7957749,74.5373589,101.8384565,67.1662663,72.9308829,83.6373461,59.409702,56.46499730000001,73.1583305,66.6812819,71.4336279,65.0711268,641.777564,29.7,240.3475961,2.36222235,-0.423333536,-2.77666719,-5.0188902,-4.461111963,-3.6011122255000005,-0.1211114049999999,4.02666665,6.92666632,10.7500003,9.9799997,7.40111088,886.0,703.0,419.0,2010,2020
915,RGI60-08.00458,2010-2020,44.1705555729866,2.514,0.0,61.636,131.2104224,114.976682,148.53276590000002,111.0180507,83.3053941,93.548709,54.3944988,58.0686555,77.1409036,86.09748929999999,122.9712785,127.46615649999998,630.059558,10.8,578.6714589999999,0.0366666639,-4.337778070000001,-7.296666620000001,-8.69555502,-7.724444529999999,-5.7144445,-2.096666433,2.48888838,6.34259238,8.91481512,8.22629624,4.54851874,1740.0,1660.0,1333.0,2010,2020
397,RGI60-08.00199,2010-2020,32.30599987745285,3.689,0.0,68.081,47.5738148,45.6644987,54.9422003,41.5809335,39.5897112,51.657681,44.235867,46.2936959,71.5963909,82.75246899999999,72.9307677,45.9248177,321.88925600000005,9.3,322.853587,-3.8500003,-8.78222145,-12.7455551,-16.2055564,-14.59555545,-12.1866667,-6.41555582,-0.281111126,4.65222178,8.665555399999999,6.83888929,2.74000017,1811.0,1524.0,1339.0,2010,2020
6259,RGI60-08.03130,2010-2020,64.51514909791946,0.092,0.0,65.38,152.448071,126.6714402,181.894656,125.5065581,114.3577567,125.1209515,79.1723217,58.7607935,80.917056,81.0748311,101.273126,137.10451700000002,911.983908,11.9,452.3181415,1.8292592704,-1.9611110613,-5.11481513,-7.03999953,-6.09296268,-4.251110779999999,-0.5277777135,4.1803704,7.84999983,11.0281494,10.33814775,6.92185179,1142.0,1099.0,1069.0,2010,2020
5874,RGI60-08.02938,2000-2010,40.09070784482956,0.083,0.0,60.218,175.048855,145.8916125,150.14255659999998,149.536211,97.6349751,86.462283,58.7126827,69.0864792,81.3763819,111.1325852,136.2656266,139.918221,692.8377929999999,17.4,708.370669,1.1033335000000002,-3.43333352,-5.83222175,-6.1799994400000005,-6.91777753,-5.903333030000001,-1.792222178,2.49888919,6.5399986,9.21444373,8.936666749999999,5.13666505,1491.0,1455.0,1415.0,2000,2010
5080,RGI60-08.02541,2000-2010,80.6165682627678,0.189,0.0,69.963,87.6249324,72.25010180000001,79.6078505,74.2296038,75.0688042,56.6248733,56.4599399,63.604524600000005,57.0549407,70.09902009999999,78.450968,89.5143081,735.1793289999999,20.7,125.4105408,2.960370461,-0.6081479670000001,-2.672592482,-3.55703841,-4.53777816,-3.48888984,0.548888557,4.38777787,8.17481495,11.8748151,10.88074,6.998518369999999,1025.0,868.0,757.0,2000,2010
1533,RGI60-08.00767,2010-2020,40.58915626082421,2.554,0.0,66.584,160.300693,131.88964700000002,178.2668672,119.41001375,112.5110069,129.350216,94.9620359,70.6027741,98.2141273,90.5639222,106.7204923,126.34127449999998,673.408535,5.1,745.724518,-0.426666651,-4.12777802,-7.17222276,-9.1522226,-8.17222295,-6.76333285,-3.1688887,1.713333494,5.31111126,8.90555585,8.18999993,4.7855557300000005,1336.0,1279.0,1076.0,2010,2020
1054,RGI60-08.00528,2000-2010,52.832556952238086,0.054,0.0,61.95399999999999,147.452516,157.8349975,171.5848356,172.9690434,114.9034092,103.8328791,66.84659500000001,65.3428609,68.1991668,91.5151696,110.0547388,134.1961704,780.6748719999999,11.2,624.05754,1.2011111,-2.941111176,-5.535555919999999,-5.59333329,-6.2144442,-4.8555557,-0.7033330569999999,3.56000023,7.09000042,9.80666716,9.23555523,5.23111142,1564.0,1543.0,1514.0,2000,2010
3282,RGI60-08.01642,2000-2010,50.652535702419286,0.3,0.0,66.774,213.443987,236.112772,236.33549,229.6918905,179.27056599999997,140.4467574,111.2997335,122.253626,115.3432297,110.364649,146.0946508,255.302506,1298.16211,24.7,797.797716,1.722222305,-1.315555486,-3.55222249,-3.68222235,-5.11666692,-4.5311110900000005,-0.610000074,3.23555576,6.70222192,10.0133343,9.4944456,5.65333343,1166.0,1043.0,787.0,2000,2010
4211,RGI60-08.02106,2010-2020,60.27746739845276,0.143,0.0,68.251,92.8175629,74.2247609,91.6687923,62.5105687,64.5310397,75.14073859999999,60.47244439999999,50.5188927,74.97197129999999,80.52056250000001,80.5953534,70.07272270000001,536.6247169999999,44.1,341.420687,0.33666668203,-3.2366667970000003,-6.516667,-9.36666534,-8.58666771,-6.52999962,-1.790000305,3.493333037,7.52999995,11.37,10.1500003,6.37000087,1568.0,1147.0,939.0,2010,2020
843,RGI60-08.00422,2010-2020,49.55920011873245,0.132,0.0,61.789,95.760616,83.80287,97.767036,78.08340510000001,59.111968000000005,67.7040016,44.6198694,54.3258446,73.2508712,82.3320552,106.0101591,92.7691829,527.992855,12.1,407.545045,-0.6433334988,-5.68333378,-9.06666898,-10.6800006,-9.41666696,-6.83666704,-2.603333473,2.39,6.496667240000001,9.12000019,8.2466661,4.3600001,1885.0,1841.0,1787.0,2010,2020
