,dmdtda
6482,-0.0083
106,0.0867
4662,-0.6037
2070,-0.1442
5278,-0.6862
1370,-0.56
3353,-0.1938
2902,-0.3149
141,-0.6243
4824,0.2361
4569,0.0991
1961,-0.5422
1599,-0.4046
2403,-0.354
4507,-0.5917
1929,-1.0217
4625,-0.2319
2090,-0.517
6316,-0.3276
2024,-0.7472
2807,-0.1342
3114,0.1985
3290,-0.7192
2116,-0.4804
3860,0.2848
586,-0.9012
6163,0.1524
2828,-0.1675
2748,-0.5877
490,-0.2947
2388,-0.7416
5437,-0.0986
1239,-1.1253
5182,-1.018
4794,-0.5706
2323,-0.4984
5291,-0.4277
4385,-0.769
2829,-0.1149
5458,-0.8483
1968,-0.3921
4401,-0.366
1356,-0.1885
5439,-0.298
4588,-0.2481
4675,0.2091
791,-0.0702
1151,-0.7219
6147,-0.5372
5777,-1.3
3208,-0.6811
6158,-0.9909
6219,-0.3442
5491,-0.4208
1756,-0.2819
2424,-0.6699
4771,-0.4139
1104,-1.1115
4819,-0.3371
2043,-0.1746
2851,-0.4189999999999999
3488,-1.4707
767,-0.0944
6813,-0.3952
3929,-1.0438
2521,0.4131999999999999
5485,-0.653
3733,-0.1641
1284,-0.0308
821,-0.6184
6440,-0.5583
1572,-1.3022
6196,-0.3442
4827,-0.569
3341,-0.6445
6153,-0.1092
2360,-0.4183
2881,-0.2558
3871,-0.0966
4736,-0.7524
5148,-0.6074
6480,-0.5818
5177,0.3551
2366,0.04
2081,0.0231
3627,-0.3868
5443,-0.5335
364,-0.5549
3947,-0.2324
5166,-0.4345
6361,-0.3453
5597,-0.6237
2794,0.0022
4411,-0.1886
4864,-0.9069
1804,-0.5642
3241,-0.5677
1548,-0.7659
5063,-0.2978
5044,-0.5118
6541,-0.0157
5905,-0.7758
1700,-0.7299
5130,-0.2315999999999999
1067,-0.7723
5624,-1.0405
500,-0.21
4656,-0.7936
1559,-0.8291999999999999
556,-0.8741
6084,-0.3424
1027,-1.003
335,-0.0051
6218,-0.2702
1005,-0.0551
2097,-0.7118
239,-0.3774
1831,0.1024
2852,-0.5683
3365,-0.1755
2709,-0.5874
1304,-0.1545
3469,0.0301
5461,-0.0797
5551,-0.9997
642,-0.659
5708,-1.2894
6700,0.0237
4843,-0.4264
1226,-0.5763
1547,-0.7451
414,-0.3455
5516,-0.6138
1925,-0.9899
5401,-0.1907
5867,-0.232
3597,-0.3562499554234775
2934,0.0511
937,0.0324
6157,-0.9673
6570,-0.867
6698,-0.4587719762258563
1857,-0.2366
6182,-0.5022
2895,-0.0665
2957,-0.5454
3289,-0.4984
3967,-0.8766999999999999
5909,-0.2841
1264,-0.2526
3095,-0.0561
6648,-0.0844
5985,-0.6149
4076,-0.6869
3479,0.0888
2249,-0.3089
5019,0.0445
5852,-1.3006
4201,-0.4271
5371,-0.3948
3886,-0.4032999999999999
2221,-0.3404
3829,-0.1086
2655,-0.3544
2631,-0.2931
2606,-0.4565
2402,-0.7598
3340,0.2466
736,-0.4185
6024,-0.4791999999999999
6539,-0.3552
4314,-0.5085
2426,-0.6663
4169,-0.1517
1797,-0.475
5728,-0.4587719762258563
509,-0.3711
4051,-0.1481
4627,-0.4004
170,-0.3988
1214,-0.7744
5018,-0.4903
3572,-0.5032
3981,-0.1171
5897,0.0439
297,-0.5562
6526,-1.1585
503,-0.2799
34,-0.8745
1462,-0.0033999999999999
3148,0.0059
2178,-0.706
3770,-0.2989
1895,-1.6945
4829,0.05
962,-0.8309999999999998
6556,-0.0509
5859,-0.2237
3280,-0.7096
3805,0.109
1408,-0.2367
187,-0.1922
6104,-0.5581
6567,-0.0563999999999999
1587,-0.5804
3927,-0.6475
4063,0.1147999999999999
3628,-0.1607
1482,-0.7416
4944,-0.8753
5348,-0.2604
2350,-0.3551
2053,-0.2172
6716,-0.562
4016,-0.6592
6320,-0.7888
4564,0.1848
4026,-0.6284
5465,-0.4185999999999999
6595,-0.054
6571,-1.1614
551,-0.3062
2308,-0.2912
4206,-0.4974999999999999
650,-0.0069
3692,-0.281
5297,-0.32
4778,-0.7076
3356,-1.061
3476,-0.6711
6807,-0.0242
1873,-0.001
5365,-0.7649
906,-0.1739
853,-0.469
857,-0.697
4663,0.4031
713,-0.3374
1958,-0.5585
3817,-0.2522
3950,-0.6623
3546,-0.8952
4021,-0.6844
2273,-0.7181
2858,-0.3602
6052,-0.2941
4702,0.012
4140,-0.5549
1008,-0.9556
5308,-1.0864
5773,-0.4612999999999999
1353,0.2153
5565,-0.6348
5995,-0.0964
237,-0.3972
2946,-0.0165
6387,-0.449
2900,-0.6982
2968,-1.0184
3234,-0.5832
103,-0.623
3646,-0.733
3256,-0.9958
6103,-1.3348
6586,1.2901
4912,-0.5217
4554,0.1583
4494,-0.4082
6461,-0.0347
204,-1.0027
6492,-0.7093
950,-1.2883
2835,-1.1332
6174,-0.6592
588,-0.6291
2102,-0.3196
1129,-0.4038
1149,-1.1161
2338,-0.4328
287,-1.1299
613,-0.3426
6746,0.3146
5337,0.3279
310,-0.9855
859,-0.0713
5230,0.4488
927,-0.0684
4309,-0.6125
3702,0.0361
3005,-0.0561
4225,-0.2071
4877,-0.0882
5350,0.0869
2530,-0.5243
1396,-0.2788
6155,0.1335
1159,-0.8400000000000001
752,-0.2704
1329,0.298
2922,-0.5168
512,-0.7588
5506,-0.1243
411,-0.3353
2355,-0.5578
3800,-0.3234
4213,-0.2476999999999999
6671,-0.1165
1658,-0.889
2385,-0.5253
1478,-0.7861
6254,-0.2515
4506,-0.4633999999999999
68,-0.1774
5785,-0.4122
788,-0.4577999999999999
4943,0.0426
4187,-0.6685
6146,-0.4126999999999999
1404,-0.6467
1880,-0.916
2284,-0.4676999999999999
2217,-0.1686
1094,-0.3812
2115,-0.3003
3851,-0.3466
4340,-1.1227
1757,-0.6224
5519,-0.7835
5730,-0.7894
1040,-0.7963
2634,-0.1016999999999999
971,-0.0715
1948,-0.9653
365,-0.5018
6748,-0.1864
1966,-0.2745
2207,-0.3869
2255,-0.3402
2056,-0.4175
1707,-0.3241
3905,-1.141
4787,0.4185
3468,-0.5339
3152,-0.5583
79,-0.3669
1811,-1.4568
684,-0.0689
3134,-0.0101
4215,-0.114
3574,-0.4981
5128,-0.4587719762258563
6790,-0.0047
1748,-0.6357
2892,-0.3421
4676,-0.1233
5445,-0.4969
6166,-0.3431
4473,-0.0312
1795,-0.0582
810,-0.6068
5814,-0.5779
5720,-0.4587719762258563
1065,-0.7661
5396,-1.1059
5232,-0.0152
1417,-0.2628
4256,-0.2663
3949,-0.9559
4867,-0.4483
1939,-0.1729
299,-0.6217
5559,-0.7412
4934,-0.1329
3376,-0.3796
2393,-0.2779
4546,-0.4253
640,-0.5828
573,-0.4156000000000001
5290,-0.3512
6165,0.0171
1440,-0.4439
5073,-0.31
690,-0.1336
2278,-0.2593
2920,-1.225
5509,-0.3021
5743,-0.6938
2026,-0.586
2015,-1.2073
5684,-0.2227999999999999
1111,0.4864
892,-0.2442
2754,-0.057
5571,-0.3691
5046,-0.629
541,0.036
4428,-1.0995
5634,-0.7506
4633,-0.1065
5075,-0.7178
3563,-0.6373
4797,-0.424
2428,-0.6146
105,-0.5407
5631,-1.0306
5806,-0.8541000000000001
2288,-0.5632
4568,0.137
4369,-0.0805
6540,-0.4474
5820,-0.7825
1339,0.0153
4452,-0.4546
1518,-0.413
4959,-0.5621
2012,-0.3864
4813,-0.2246
6248,-0.0856
2193,-0.2966
4492,-0.0806
2909,0.0225
1849,-0.8483
2717,-1.1729
6405,-1.3211
506,-0.2802
3329,-0.1551
5622,-0.2643
1771,-0.1428
2818,-0.1899
724,-1.1881
4729,0.0402
6173,-0.2826
856,-0.9046999999999998
3075,0.1572
6687,-0.3562499554234775
3144,-0.4828
4469,-0.5858
224,-0.1014
395,0.1706
5672,-0.2956
1492,-0.0493
5610,-0.492
5451,-0.6115
3119,-0.4644
1514,-0.3721
6038,-0.5518
5416,-0.5765
6446,-0.3392
4745,-0.3333
1807,-0.6767
4357,-0.8802999999999999
2868,0.1589
6603,-1.0311
908,-0.4485
6435,-0.5337
3588,-0.6364
2165,-0.5488
413,-0.3935
6458,0.2643
1659,-0.6246
55,-0.2701
749,-0.434
2000,-1.008
4718,-0.1676
