,dmdtda
4788,-0.7703
33,-0.4847
1616,-0.3094
2314,-0.8642
5036,0.0526999999999999
1179,-1.39
4744,-0.1979
6556,-0.0509
5718,-1.8937
2045,-0.4476
3040,0.0494
5716,-0.4346
4316,-0.6354
5995,-0.0964
4237,0.319
6477,0.0116
5665,-0.4172
6422,0.0899
4786,-0.0859
517,-0.6487
6679,-0.0988
1121,0.3156
3650,-0.4680000000000001
4385,-0.769
4683,0.0645
1079,-1.5272
2865,-0.4791
4382,-0.2242
5869,0.2967
3484,0.0289
1836,-0.8885
1579,-0.6178
2820,-0.3783
158,-0.598
4978,-1.3627
5232,-0.0152
514,-0.2707
1637,-0.6304
3955,-0.4697
315,-0.4122
2732,-0.7912
1386,-0.5304
3857,0.1046999999999999
3812,-0.5842
3132,-0.5779
4729,0.0402
394,-0.5229
4756,-0.319
6816,-0.279
6401,-0.9789
3007,-0.1668
3538,-0.3969
147,-0.7963
2861,-0.5886
4466,-0.4306
4698,-0.0317
747,0.2353
3936,-0.7142
1127,-0.2484
199,-0.4119
2923,-0.2101
597,-0.0645
2485,-0.2624
5831,-0.7918
76,-0.3954
2076,-0.2474
1645,-0.2029
1574,-0.6249
3923,-1.1486
2606,-0.4565
618,-0.2062
4267,-1.1003
948,-0.6505
2403,-0.354
2259,-0.7256
3064,-0.3716
3678,-0.9395
3476,-0.6711
1992,-0.5407
5576,-0.6817
4556,-0.2822
2363,-0.5079
831,-0.7256
5305,0.2139
1763,0.0088
1402,-0.2342
1774,-0.3845
2899,-0.3812
2391,-0.1483
6421,-0.5124
4225,-0.2071
2441,-0.363
5717,-0.5448
2562,-0.123
756,-0.2754
3201,-0.069
268,-0.6337
4088,-0.0493
4955,-0.3623
6041,-0.0903
259,-0.7223
1043,-1.0425
3644,0.1179
3173,-0.2811
6824,-0.616
6390,-0.2125
6358,-0.8187
883,-0.4482
4665,-0.136
5122,-0.2284
3386,-0.5382
1982,-0.8109
4544,0.1591
6442,-0.5795
3236,-0.514
6635,-0.198
1067,-0.7723
6467,-0.4669999999999999
5540,-0.5111
2216,-0.5356
2128,-0.5883
1717,-0.8472
269,-0.2789
4845,-0.3134
3694,-0.1927
6053,0.3455
3543,-0.1987
4248,-0.4587719762258563
3811,-0.151
2445,0.5782
1676,0.0902
4667,0.0548999999999999
3250,-0.6002
2215,-0.714
2271,-0.7184
939,-0.2516
535,-0.2617
6096,-1.0259
6071,-0.066
4837,-0.5351
3435,-0.2041
1413,-0.6775
5209,-0.5056
2012,-0.3864
1583,-0.2361
560,-0.5287
5108,-0.7437
2433,-0.6354
5857,0.2032999999999999
546,-0.3551
3266,-0.3011
3093,0.1127
6241,-0.624
1599,-0.4046
2151,-0.4840999999999999
5958,0.3676
88,-1.0495
6113,-0.9908
3243,-0.2031
1575,-0.1546
6689,-0.3562499554234775
1087,-0.5161
351,-0.002
2913,-0.3249
856,-0.9046999999999998
4173,0.0764
6763,-0.0339
2405,-0.5459
2147,-0.181
695,-0.0027
6542,-0.4133
1353,0.2153
3750,-0.3254
6764,-1.2829
4304,-0.3616
4810,-0.1151
2055,-0.3298
5026,-0.2261
1478,-0.7861
1672,-0.4565
860,-0.7367
5203,-0.2166
2762,-0.1171
6597,-0.3896
2130,-0.4628
2519,-0.373
1046,-0.7012
6092,-0.3491
2972,-0.4485
5933,-0.6829
6000,-0.4379
4519,-0.2665
658,-0.6667
5456,-1.1221
5182,-1.018
1218,-0.4582
363,-0.2
5888,-1.2466
2050,-0.2258
6168,-0.4375999999999999
6475,0.3335
811,-0.3339
6289,-0.3319
6794,-0.517
4792,-0.548
6828,-0.5718
6121,-0.1871
2554,-0.1983
1244,-0.4006999999999999
4857,-0.6157
2268,-0.4128999999999999
1998,-0.5698
2197,-0.0296
6547,0.1346
1711,-1.428
5789,-0.0877
4981,-0.3562499554234775
6234,-0.3889
1247,-0.1545
5989,-0.3014
2253,-0.2669
6036,-0.1228999999999999
6196,-0.3442
2685,-0.5448
443,0.1248999999999999
6132,-0.5969
4392,-0.7391
766,-0.7403
239,-0.3774
4659,-0.0117
238,-0.7097
1806,-0.9868
1483,-0.8276
4280,-0.481
1684,-0.332
3825,0.0278
4822,-0.5403
6116,-0.6796
1456,-1.1281
4567,-0.4508
6730,-0.4587719762258563
1520,-0.2971
1088,-0.5074
5352,-1.2695
4935,-0.1115
1698,-0.0958
4479,-0.0338
1278,-0.7722
1317,0.0828
6219,-0.3442
1993,-0.6863
5652,-0.4134
3425,-0.2197
5283,0.1413
5266,-0.2779
5574,-0.7677
794,-0.3692
5840,-0.11
5627,-1.1445
4141,-0.2235999999999999
5822,-0.4391999999999999
6232,-0.465
4242,-0.2597
5255,0.2541
2866,-0.3343
440,-0.5368
1701,-0.0786
3846,-0.658
2668,-1.4468
3751,0.1924
6251,-0.4755
1100,-0.8118000000000001
246,-0.9588
6512,-0.1227
3105,-0.603
5763,-0.0811
3257,-0.5858
3670,-0.9663
3061,-0.0144
462,-0.574
1299,-0.1121
5952,-0.3975
4950,-0.4055000000000001
6176,-0.3901
401,0.1097999999999999
1457,-0.0581
6069,-0.6746
628,-1.2644
602,-0.6886
712,-0.3353
3743,-0.0473
716,-0.2626
2413,-0.1303
722,-0.5407
6518,-0.5139
3578,-0.4431999999999999
4764,-0.3918
2444,-0.8240000000000001
5713,-0.3562499554234775
5938,-0.7144
6260,-0.2431
6021,-0.2065999999999999
1778,-0.8097
2434,0.0672
5369,-0.5228
5176,0.0556
4342,-0.3044
283,-0.348
1880,-0.916
1779,-0.4211999999999999
4821,-0.9936
5070,-0.541
257,-0.156
344,-0.3282
3374,-0.4362
4348,-1.0372
4783,-0.4793
2721,-0.4427
1209,-0.6787
5227,-0.7
6207,-0.696
6773,-0.9283
6303,-0.4847
3858,-0.4458
3542,-0.3963
6564,-0.6211
4331,-0.3863
6239,-0.3293
5309,-0.0657
6233,-0.4103
5633,-0.3878
5695,-0.5998
5980,-0.41
5773,-0.4612999999999999
4696,0.0294
6087,-1.2036
2058,-0.7871
3945,-0.4546
1955,-0.7619
6230,-0.3793
2591,-0.5273
3316,-1.0766
6688,-0.4587719762258563
1111,0.4864
5256,0.0832
3140,-0.2981
1042,-0.9341000000000002
4592,-0.5132
371,-0.4798999999999999
5743,-0.6938
5126,-0.4332
1215,-0.8416
685,-0.5021
6139,-0.2923
5231,-0.4410999999999999
4070,0.0625
3444,-0.6674
3642,-0.0719
4357,-0.8802999999999999
1866,-0.3533
4408,-0.4204
4872,-0.0741
3028,0.1513
5547,-0.6952
4678,-0.3472
1333,0.2331
3907,-0.1788
3389,0.0069
4803,0.0624
3871,-0.0966
4044,-0.7813
2488,-0.8306000000000001
1933,-0.8017
1119,-0.755
5883,-0.689
5195,-0.4993
6160,0.181
4916,-0.6422
6104,-0.5581
2950,-0.6072
645,-0.347
5646,-0.5234
181,-0.6308
4843,-0.4264
6528,-0.2492
5220,-0.1782
1510,-0.5592
3700,-0.2587
6705,-0.1881
4245,0.2466
241,-0.7255
1056,-1.3077
6431,-0.4562
2436,-0.5191
4664,0.0107
104,-0.5167
4716,-0.978
2240,-0.4692999999999999
5608,-0.6078
5494,-0.288
3016,-0.1799
3382,-0.1099
2030,-0.4483
2258,-0.5598
2995,-0.2302
2486,-0.9826
3491,-0.2004
4073,-0.8261
3051,0.0663
5950,-0.2314
6162,0.3325
6527,-0.4713999999999999
200,-0.3507
676,-0.5037
5821,-0.5489
6403,-0.3776
6813,-0.3952
3232,-0.5082
5277,-0.5388
3911,-1.0841
478,-0.5675
3455,-0.1374
2027,-0.7431
660,-0.7134
2691,-0.0027
5614,-0.6257
2997,-0.0058
5217,-0.8585
1881,-0.3695
3448,-0.2306
5096,-0.8013
4054,-0.6919
2798,-0.0363
6076,-0.182
4790,-0.9808
5601,-0.0098
3745,-0.3272
341,-0.1839
6517,-0.0962
4569,0.0991
946,-0.8788
1061,-0.7657
4153,-0.1763
3958,-0.2472
5978,-0.3698
3400,-0.336
5911,-0.22
3259,-0.3238
4427,-0.3228
2322,-0.368
4928,-0.4772
1068,-0.6171
3576,-0.2436999999999999
2964,-0.4992
57,0.0474
330,-0.2153999999999999
3206,0.184
6046,-0.2147999999999999
2812,0.0555
4968,-0.5787
6579,-0.1667
6334,-0.5658
6058,-0.2551
4691,-0.695
1624,-0.0213
5751,-0.9719
4731,0.0426
5095,-0.8844
3295,-0.3538
4067,-0.6345
3986,-0.4591999999999999
2729,-0.8078
285,-0.4461
6648,-0.0844
3063,0.0246
757,-0.0932
94,-0.7457
2982,-0.1259
3855,-0.1237
2891,-0.3562499554234775
2959,-0.0245
681,-0.2524
55,-0.2701
6510,-0.1012999999999999
5987,-0.2979
3345,-0.4992
1757,-0.6224
2037,-0.1366
1019,-0.5781
5991,-0.1153
5405,-0.5794
5038,-0.163
1681,-0.6046
6373,-0.4061
3768,0.3149
3699,-0.5091
2320,-0.9851
4412,-0.3539
5848,-0.6681
1200,-0.6286
2848,-0.352
2347,-0.5223
2715,-0.8783999999999998
6302,-0.2338
5311,-0.04
451,-0.6349
2208,-0.4673999999999999
190,-0.4682
3972,-0.8042
1178,-1.0182
2534,-0.4897
5828,-0.4128999999999999
4077,-0.2018
3594,-0.3932
4062,-0.5676
346,-0.1151
576,-0.2157
2797,0.0078
3270,-0.1876
3997,-0.095
3413,0.1032999999999999
4929,-0.2457999999999999
303,-0.2375999999999999
2722,-1.0081
3820,0.0489
1226,-0.5763
5289,-0.3468
4768,-0.1131
1564,-0.2094999999999999
2166,-0.6609
4384,-1.1095
5722,-0.2997
1513,-0.0746
5504,-0.8923
5221,0.0957
2435,-0.0838
2220,-0.9004
6395,-1.02
6384,-0.4513
1889,-0.3562499554234775
2596,-0.171
5275,-0.2153999999999999
311,-0.5678
5807,-0.5596
4353,-0.483
4988,-0.884
5185,-0.2962
1054,-0.1356
6639,0.2652
6285,-0.5165
2800,-0.4019
2811,0.0015
1959,-0.299
2928,-0.3944
837,-0.7021
4704,-0.9349
5835,-0.6481
3271,-0.4328
4865,-0.1894
2204,-0.3155
1217,-0.3562499554234775
1712,0.001
1780,-0.6921
2532,-0.7213
3363,-0.1865
5027,-0.3999
4089,-0.5303
5347,-0.1959
4093,0.0727
3265,-0.3959
6282,-0.0596999999999999
481,-0.3152
3949,-0.9559
3439,-0.6662
4642,0.2301
454,-0.5841
5140,-0.1282
3001,0.195
2311,-0.4366
5898,-0.576
5017,-0.3167
6209,-0.5886
4852,-0.42
6038,-0.5518
5591,-0.5009
5440,-0.557
6110,-0.8713999999999998
5663,-0.5727
1509,-0.1019
3973,-0.1736
3234,-0.5832
6567,-0.0563999999999999
2625,-0.1913
3079,-0.0094
654,-0.4741000000000001
5480,-0.5598
3315,-0.5074
763,-0.6637
562,-0.6353
4687,-0.3001
2559,-0.2977
2394,-0.448
6322,-0.0619
4395,-0.6199
3198,-0.3106
6790,-0.0047
6070,-0.5622
5501,-0.4553
1069,-0.9517
4593,-0.4814
4092,0.1472
4650,-0.3988
6201,-0.2574
3537,-0.2488999999999999
3880,0.1917
4961,-0.5251
2161,-0.682
5372,-0.7178
6744,0.0254
3568,-0.4919
4370,-1.0853
3027,0.0127
4740,-0.5674
4102,-0.6183
1060,-0.6095
5766,-0.2211
1951,-0.9051
1488,-0.8172
5596,-0.5743
5214,-0.6654
2791,-0.3075
905,-1.0041
3002,-1.3682
4402,-0.3559
4229,-0.1425
6789,-0.0055
6231,-0.305
6536,-0.2052
2938,-0.0033
2424,-0.6699
5434,-0.7557
3844,-0.4519
4970,-0.8474999999999999
5657,-0.7656
2462,-0.7036
4612,0.5369
129,-0.5594
301,-0.5993
3800,-0.3234
4796,0.0319
2941,-0.0867
2070,-0.1442
1274,-0.4947
1270,-0.7045
1753,-0.76
1660,-0.1933
3849,-0.1101
6830,-0.7374
4541,-0.0044
5747,-0.8383
6582,-0.2349
1412,-0.4652999999999999
5485,-0.653
5730,-0.7894
975,-0.2757
863,-0.6552
472,-0.1572
5813,-0.7693
1697,-0.5665
3680,-0.7815
6697,-1.0164
547,-0.3236
1152,-0.1815
682,-0.5859
6608,-0.2085
6357,-0.8436999999999999
6215,-0.2121
386,-0.0941
3300,-0.3368
5572,-0.56
6733,-0.3715
1643,0.0772
2573,-0.6117
2545,-0.7062
1182,-1.5929
3711,-0.3341
5105,-1.1648
3638,-0.3289
3605,-0.9726
5649,-1.0793
2023,-0.6797
4568,0.137
274,0.4142
1876,0.0267
167,-0.6765
4438,-0.5239
5767,-1.2008
3563,-0.6373
3226,-0.3163
2679,-0.256
6734,-1.0797
3728,-0.4977999999999999
4086,-0.5085
6220,-0.3253
5144,-0.6052
4524,-0.9116
4452,-0.4546
2523,-0.0219
2094,-0.5371
4041,-0.9616
6593,-0.2713
4510,-0.6333
1960,-0.2682
3092,-0.8916000000000001
284,-1.4649
2607,-0.3151
906,-0.1739
2157,-0.4373
1091,-0.0741
1377,0.1365
1350,-0.4554999999999999
4302,-0.8736
3326,0.0638
3029,-0.0123
528,-0.1576
932,0.0504
3223,-0.2474
6452,-0.8507999999999999
2312,-0.7389
553,0.1135
2028,-0.6407
1772,-0.6946
2644,-0.3273
6063,-0.2463
6164,-0.0967
6667,-0.1265
4598,-0.3891
522,-0.4393000000000001
4351,0.1486
4805,-0.7412
1996,-0.3524
2212,-0.7423
1462,-0.0033999999999999
725,0.0251
5054,-0.0417
119,-0.3579
4025,-0.2157
2701,-0.7987
